Dias;Mes;Cor
1;1;0
2;1;0
3;1;0
4;1;0
5;1;0
6;1;0
7;1;0
8;1;0
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;0
19;1;0
20;1;0
21;1;0
22;1;0
23;1;0
24;1;0
25;1;0
26;1;0
27;1;0
28;1;0
29;1;0
30;1;0
31;1;0
32;2;1
33;2;1
34;2;1
35;2;1
36;2;1
37;2;1
38;2;1
39;2;1
40;2;1
41;2;1
42;2;1
43;2;1
44;2;1
45;2;1
46;2;1
47;2;1
48;2;1
49;2;1
50;2;1
51;2;1
52;2;1
53;2;1
54;2;1
55;2;1
56;2;1
57;2;1
58;2;1
59;2;1
60;3;-1
61;3;-1
62;3;-1
63;3;-1
64;3;-1
65;3;-1
66;3;-1
67;3;-1
68;3;-1
69;3;-1
70;3;-1
71;3;-1
72;3;-1
73;3;-1
74;3;-1
75;3;-1
76;3;-1
77;3;-1
78;3;-1
79;3;-1
80;3;-1
81;3;-1
82;3;-1
83;3;-1
84;3;-1
85;3;-1
86;3;-1
87;3;-1
88;3;-1
89;3;-1
90;3;-1
91;4;0
92;4;0
93;4;0
94;4;0
95;4;0
96;4;0
97;4;0
98;4;0
99;4;0
100;4;0
101;4;0
102;4;0
103;4;0
104;4;0
105;4;0
106;4;0
107;4;0
108;4;0
109;4;0
110;4;0
111;4;0
112;4;0
113;4;0
114;4;0
115;4;0
116;4;0
117;4;0
118;4;0
119;4;0
120;4;0
121;5;0
122;5;0
123;5;0
124;5;0
125;5;0
126;5;0
127;5;0
128;5;0
129;5;0
130;5;0
131;5;0
132;5;0
133;5;0
134;5;0
135;5;0
136;5;0
137;5;0
138;5;0
139;5;0
140;5;0
141;5;0
142;5;0
143;5;0
144;5;0
145;5;0
146;5;0
147;5;0
148;5;0
149;5;0
150;5;0
151;5;0
152;6;1
153;6;1
154;6;1
155;6;1
156;6;1
157;6;1
158;6;1
159;6;1
160;6;1
161;6;1
162;6;1
163;6;1
164;6;1
165;6;1
166;6;1
167;6;1
168;6;1
169;6;1
170;6;1
171;6;1
172;6;1
173;6;1
174;6;1
175;6;1
176;6;1
177;6;1
178;6;1
179;6;1
180;6;1
181;6;1
182;7;1
183;7;1
184;7;1
185;7;1
186;7;1
187;7;1
188;7;1
189;7;1
190;7;1
191;7;1
192;7;1
193;7;1
194;7;1
195;7;1
196;7;1
197;7;1
198;7;1
199;7;1
200;7;1
201;7;1
202;7;1
203;7;1
204;7;1
205;7;1
206;7;1
207;7;1
208;7;1
209;7;1
210;7;1
211;7;1
212;7;1
213;8;2
214;8;2
215;8;2
216;8;2
217;8;2
218;8;2
219;8;2
220;8;2
221;8;2
222;8;2
223;8;2
224;8;2
225;8;2
226;8;2
227;8;2
228;8;2
229;8;2
230;8;2
231;8;2
232;8;2
233;8;2
234;8;2
235;8;2
236;8;2
237;8;2
238;8;2
239;8;2
240;8;2
241;8;2
242;8;2
243;8;2
244;9;3
245;9;3
246;9;3
247;9;3
248;9;3
249;9;3
250;9;3
251;9;3
252;9;3
253;9;3
254;9;3
255;9;3
256;9;3
257;9;3
258;9;3
259;9;3
260;9;3
261;9;3
262;9;3
263;9;3
264;9;3
265;9;3
266;9;3
267;9;3
268;9;3
269;9;3
270;9;3
271;9;3
272;9;3
273;9;3
274;10;3
275;10;3
276;10;3
277;10;3
278;10;3
279;10;3
280;10;3
281;10;3
282;10;3
283;10;3
284;10;3
285;10;3
286;10;3
287;10;3
288;10;3
289;10;3
290;10;3
291;10;3
292;10;3
293;10;3
294;10;3
295;10;3
296;10;3
297;10;3
298;10;3
299;10;3
300;10;3
301;10;3
302;10;3
303;10;3
304;10;3
305;11;4
306;11;4
307;11;4
308;11;4
309;11;4
310;11;4
311;11;4
312;11;4
313;11;4
314;11;4
315;11;4
316;11;4
317;11;4
318;11;4
319;11;4
320;11;4
321;11;4
322;11;4
323;11;4
324;11;4
325;11;4
326;11;4
327;11;4
328;11;4
329;11;4
330;11;4
331;11;4
332;11;4
333;11;4
334;11;4
335;12;4
336;12;4
337;12;4
338;12;4
339;12;4
340;12;4
341;12;4
342;12;4
343;12;4
344;12;4
345;12;4
346;12;4
347;12;4
348;12;4
349;12;4
350;12;4
351;12;4
352;12;4
353;12;4
354;12;4
355;12;4
356;12;4
357;12;4
358;12;4
359;12;4
360;12;4
361;12;4
362;12;4
363;12;4
364;12;4
365;12;4
