Velocidade do vento (m/s);Velocidade no intervalo;nº de amostras;Frequencia Relativa (%);Gerador 2.7MW;Gerador 2.5MW;Gerador 2.3MW
0 a 1 ;0.5;87;0.991;0;0;0
1 a 2 ;1.5;231;2.631;0;0;0
2 a 3 ;2.5;385;4.374;0;0;40
3 a 4;3.5;489;5.57;0;0;80
4 a 5;4.5;653;7.438;60;80;220
5 a 6;5.5;747;8.509;200;160;440
6 a 7;6.5;870;9.91;400;380;740
7 a 8;7.5;1057;12.04;920;660;1300
8 a 9;8.5;1240;14.125;1180;1200;1560
9 a 10;9.5;945;10.764;1520;1460;1800
10 a 11;10.5;689;7.848;1840;1740;1960
11 a 12;11.5;465;5.297;2180;1960;2060
12 a 13;12.5;319;3.634;2360;2140;2300
13 a 14;13.5;246;2.802;2700;2260;2300
14 a 15;14.5;193;2.198;2700;2500;2300
15;15;164;1.868;2700;2500;2300
